id,gtw-id,time,frequency,data-rate,rssi,alt,lat,long
1,eui-3133303739005b00,2021-02-22T13:32:47.726073387Z,868.1,SF7BW125,-114,149,51.0308,13.7315
1,eui-a840411d001c4150,2021-02-22T13:32:47.726073387Z,868.1,SF7BW125,-107,149,51.0308,13.7315
2,eui-3133303739005b00,2021-02-22T13:32:55.141345423Z,868.1,SF7BW125,-116,149,51.0308,13.7315
2,eui-a840411d001c4150,2021-02-22T13:32:55.141345423Z,868.1,SF7BW125,-114,149,51.0308,13.7315
3,eui-3133303739005b00,2021-02-22T13:33:01.650143993Z,868.1,SF7BW125,-115,149,51.0308,13.7315
3,eui-b827ebfffead3656,2021-02-22T13:33:01.650143993Z,868.1,SF7BW125,-111,149,51.0308,13.7315
3,eui-a840411d001c4150,2021-02-22T13:33:01.650143993Z,868.1,SF7BW125,-106,149,51.0308,13.7315
4,eui-b827ebfffead3656,2021-02-22T13:33:08.126934345Z,868.1,SF7BW125,-97,149,51.0308,13.7315
5,eui-a840411d001c4150,2021-02-22T13:33:14.722725738Z,868.1,SF7BW125,-116,149,51.0308,13.7315
5,eui-b827ebfffead3656,2021-02-22T13:33:14.722725738Z,868.1,SF7BW125,-96,149,51.0308,13.7315
6,eui-a840411d001c4150,2021-02-22T13:33:20.844451371Z,868.1,SF7BW125,-103,149,51.0308,13.7315
6,eui-b827ebfffead3656,2021-02-22T13:33:20.844451371Z,868.1,SF7BW125,-97,149,51.0308,13.7315
7,eui-3133303739005b00,2021-02-22T13:33:27.079235124Z,868.1,SF7BW125,-116,149,51.0308,13.7315
7,eui-a840411d001c4150,2021-02-22T13:33:27.079235124Z,868.1,SF7BW125,-105,149,51.0308,13.7315
7,eui-b827ebfffead3656,2021-02-22T13:33:27.079235124Z,868.1,SF7BW125,-93,149,51.0308,13.7315
8,eui-3133303739005b00,2021-02-22T13:33:33.420500472Z,868.1,SF7BW125,-116,149,51.0308,13.7315
8,eui-a840411d001c4150,2021-02-22T13:33:33.420500472Z,868.1,SF7BW125,-107,149,51.0308,13.7315
8,eui-b827ebfffead3656,2021-02-22T13:33:33.420500472Z,868.1,SF7BW125,-97,149,51.0308,13.7315
9,eui-a840411d001c4150,2021-02-22T13:33:40.641913088Z,868.1,SF7BW125,-108,149,51.0308,13.7315
9,eui-b827ebfffead3656,2021-02-22T13:33:40.641913088Z,868.1,SF7BW125,-100,149,51.0308,13.7315
10,eui-a840411d001c4150,2021-02-22T13:33:47.01366445Z,868.1,SF7BW125,-115,149,51.0308,13.7315
10,eui-b827ebfffead3656,2021-02-22T13:33:47.01366445Z,868.1,SF7BW125,-95,149,51.0308,13.7315
11,eui-3133303739005b00,2021-02-22T13:33:53.342329751Z,868.1,SF7BW125,-117,149,51.0308,13.7315
11,eui-a840411d001c4150,2021-02-22T13:33:53.342329751Z,868.1,SF7BW125,-106,149,51.0308,13.7315
11,eui-b827ebfffead3656,2021-02-22T13:33:53.342329751Z,868.1,SF7BW125,-92,149,51.0308,13.7315
12,DresdenNeustadt,2021-02-22T13:33:59.557533531Z,868.1,SF7BW125,-120,149,51.0308,13.7315
12,eui-3133303739005b00,2021-02-22T13:33:59.557533531Z,868.1,SF7BW125,-116,149,51.0308,13.7315
12,eui-a840411d001c4150,2021-02-22T13:33:59.557533531Z,868.1,SF7BW125,-106,149,51.0308,13.7315
12,eui-b827ebfffead3656,2021-02-22T13:33:59.557533531Z,868.1,SF7BW125,-107,149,51.0308,13.7315
13,eui-a840411d001c4150,2021-02-22T13:34:06.519541584Z,868.1,SF7BW125,-111,149,51.0308,13.7315
13,eui-b827ebfffead3656,2021-02-22T13:34:06.519541584Z,868.1,SF7BW125,-108,149,51.0308,13.7315
14,eui-3133303739005b00,2021-02-22T13:34:13.937793432Z,868.1,SF7BW125,-117,149,51.0308,13.7315
14,eui-a840411d001c4150,2021-02-22T13:34:13.937793432Z,868.1,SF7BW125,-110,149,51.0308,13.7315
15,eui-a840411d001c4150,2021-02-22T13:34:20.182024719Z,868.1,SF7BW125,-109,149,51.0308,13.7315
15,eui-3133303739005b00,2021-02-22T13:34:20.182024719Z,868.1,SF7BW125,-115,149,51.0308,13.7315
15,eui-b827ebfffead3656,2021-02-22T13:34:20.182024719Z,868.1,SF7BW125,-96,149,51.0308,13.7315
16,eui-3133303739005b00,2021-02-22T13:34:26.514522135Z,868.1,SF7BW125,-117,145.6,51.0308,13.7315
16,eui-a840411d001c4150,2021-02-22T13:34:26.514522135Z,868.1,SF7BW125,-109,145.6,51.0308,13.7315
17,DresdenNeustadt,2021-02-22T13:34:32.732611526Z,868.1,SF7BW125,-120,146.1,51.0307,13.7315
17,eui-a840411d001c4150,2021-02-22T13:34:32.732611526Z,868.1,SF7BW125,-103,146.1,51.0307,13.7315
17,eui-b827ebfffead3656,2021-02-22T13:34:32.732611526Z,868.1,SF7BW125,-111,146.1,51.0307,13.7315
18,eui-a840411d001c4150,2021-02-22T13:34:38.861272284Z,868.1,SF7BW125,-101,146.1,51.0305,13.7315
